Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Andriy KOZHUKH POSITION,Andriy KOZHUKH LAP TIME,Andriy KOZHUKH ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME
2,9.236,9.236,3,9.490,9.490,0,,,1,9.043,9.043,4,9.582,9.582
2,12.473,21.709,3,12.380,21.870,5,,22.315,1,12.615,21.658,4,12.417,21.999
2,11.904,33.613,3,12.007,33.878,5,11.866,34.181,1,11.930,33.588,4,12.084,34.083
2,11.871,45.483,3,11.699,45.577,5,11.712,45.892,1,11.838,45.426,4,11.749,45.832
1,11.762,57.245,3,11.952,57.528,5,11.933,57.825,2,11.855,57.281,4,11.790,57.622
2,11.971,1:09.216,3,11.875,1:09.404,5,11.956,1:09.782,1,11.881,1:09.162,4,12.050,1:09.673
4,11.007,1:20.222,2,10.612,1:20.015,5,10.557,1:20.339,3,11.041,1:20.202,1,10.302,1:19.975
3,9.612,1:29.835,2,9.714,1:29.729,4,9.567,1:29.906,5,9.727,1:29.930,1,9.654,1:29.629
1,9.615,1:39.449,3,10.029,1:39.758,5,9.987,1:39.893,4,9.843,1:39.773,2,9.965,1:39.594
2,9.835,1:49.284,1,9.448,1:49.206,4,9.745,1:49.637,5,9.914,1:49.687,3,9.798,1:49.392
1,9.454,1:58.737,2,9.617,1:58.823,5,9.974,1:59.612,4,9.778,1:59.465,3,9.477,1:58.868
1,9.443,2:08.180,2,9.443,2:08.265,4,9.936,2:09.547,3,10.041,2:09.506,5,36.369,2:35.238
1,9.384,2:17.564,2,9.482,2:17.748,3,10.035,2:19.582,4,10.140,2:19.646,5,17.043,2:52.280
1,10.249,2:27.813,2,10.236,2:27.983,4,10.510,2:30.091,3,10.283,2:29.929,0,,
