Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Stefan ANGHEL POSITION,Stefan ANGHEL LAP TIME,Stefan ANGHEL ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME
1,8.64,8.64,3,8.84,8.84,5,8.98,8.98,4,8.96,8.96,2,8.66,8.66
2,11.48,20.12,3,11.28,20.12,5,11.59,20.57,4,11.36,20.32,1,11.21,19.87
4,10.62,30.74,2,10.42,30.54,5,10.27,30.84,3,10.32,30.64,1,10.58,30.45
4,10.91,41.65,2,10.87,41.41,5,23.32,54.16,3,10.89,41.53,1,10.84,41.29
2,10.36,52.01,3,10.60,52.01,5,15.77,1:09.93,4,10.66,52.19,1,10.62,51.91
4,10.52,1:02.53,3,10.44,1:02.45,5,15.69,1:25.62,2,10.20,1:02.39,1,10.44,1:02.35
4,10.30,1:12.83,3,10.26,1:12.71,5,14.12,1:39.74,1,10.15,1:12.54,2,10.26,1:12.61
4,10.22,1:23.05,3,10.21,1:22.92,5,14.43,1:54.17,1,10.20,1:22.74,2,10.24,1:22.85
4,10.21,1:33.26,3,10.18,1:33.10,5,12.68,2:06.85,1,10.15,1:32.89,2,10.15,1:33.00
4,10.28,1:43.54,3,10.04,1:43.14,5,13.67,2:20.52,1,10.06,1:42.95,2,10.06,1:43.06
4,10.65,1:54.19,3,10.26,1:53.40,5,14.25,2:34.77,1,10.22,1:53.17,2,10.23,1:53.29
4,10.45,2:04.64,3,9.75,2:03.15,5,13.40,2:48.17,1,9.80,2:02.97,2,9.82,2:03.11
4,10.90,2:15.54,2,9.80,2:12.95,5,13.54,3:01.71,1,9.86,2:12.83,3,10.11,2:13.22
4,11.25,2:26.784,2,10.09,2:23.031,5,0.02,3:01.724,1,9.92,2:22.747,3,10.54,2:23.757
