Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME
1,13.40,13.40,2,13.45,13.45,5,13.74,13.74,4,13.72,13.72,3,13.59,13.59
1,10.16,23.56,2,10.22,23.67,5,10.18,23.92,4,10.19,23.91,3,10.22,23.81
1,9.96,33.52,3,9.96,33.63,2,9.65,33.57,5,9.96,33.87,4,9.92,33.73
1,9.80,43.32,2,9.86,43.49,5,10.20,43.77,4,9.78,43.65,3,9.83,43.56
1,9.79,53.11,2,9.71,53.20,5,9.90,53.67,4,9.80,53.45,3,9.79,53.35
1,9.87,1:02.98,2,9.87,1:03.07,5,10.03,1:03.70,4,9.79,1:03.24,3,9.82,1:03.17
2,9.97,1:12.95,4,9.96,1:13.03,5,10.36,1:14.06,3,9.71,1:12.95,1,9.69,1:12.86
3,9.92,1:22.87,4,10.02,1:23.05,5,10.68,1:24.74,2,9.27,1:22.22,1,9.22,1:22.08
3,10.05,1:32.916,4,10.19,1:33.231,5,10.92,1:35.653,2,9.32,1:31.535,1,9.38,1:31.460
