BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,Hannah MORRISON POSITION,Hannah MORRISON LAP TIME,Hannah MORRISON ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME
2,7.67,7.67,1,7.35,7.35,4,8.11,8.11,3,7.81,7.81,5,8.40,8.40
2,9.83,17.50,1,9.42,16.77,4,10.13,18.24,3,9.70,17.51,5,9.92,18.32
3,9.53,27.03,1,8.91,25.68,4,9.50,27.74,2,9.03,26.54,5,9.43,27.75
3,9.67,36.70,1,9.05,34.73,5,9.61,37.35,2,9.03,35.57,4,9.42,37.17
3,9.90,46.60,1,9.24,43.97,5,10.06,47.41,2,9.23,44.80,4,9.68,46.85
