Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME
2,10.18,10.18,3,10.37,10.37,4,10.50,10.50,5,10.68,10.68,1,9.97,9.97
2,13.17,23.35,3,13.11,23.48,4,13.10,23.60,5,13.09,23.77,1,13.27,23.24
2,12.49,35.84,3,12.49,35.97,4,12.49,36.09,5,12.46,36.23,1,12.49,35.73
2,12.33,48.17,3,12.30,48.27,4,12.29,48.38,5,12.29,48.52,1,12.32,48.05
2,12.25,1:00.42,3,12.24,1:00.51,5,12.26,1:00.64,4,12.11,1:00.63,1,12.26,1:00.31
2,10.83,1:11.25,4,10.85,1:11.36,3,10.71,1:11.35,1,10.50,1:11.13,5,11.39,1:11.70
3,10.70,1:21.95,4,10.62,1:21.98,2,10.48,1:21.83,1,10.67,1:21.80,5,10.44,1:22.14
4,10.54,1:32.49,2,10.27,1:32.25,1,10.34,1:32.17,3,10.57,1:32.37,5,10.45,1:32.59
4,10.54,1:43.03,2,10.52,1:42.77,1,10.52,1:42.69,3,10.55,1:42.92,5,10.53,1:43.12
4,10.37,1:53.40,2,10.32,1:53.09,1,10.32,1:53.01,3,10.36,1:53.28,5,10.40,1:53.52
4,9.87,2:03.27,2,9.97,2:03.06,1,9.96,2:02.97,3,9.89,2:03.17,5,9.97,2:03.49
4,9.63,2:12.90,3,9.70,2:12.76,2,9.70,2:12.67,1,9.32,2:12.49,5,10.11,2:13.60
4,9.86,2:22.76,3,9.48,2:22.24,2,9.44,2:22.11,1,9.33,2:21.82,5,10.46,2:24.06
4,10.45,2:33.206,3,9.59,2:31.828,2,9.64,2:31.748,1,9.59,2:31.408,5,10.93,2:34.984
