Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME
2,6.82,6.82,1,6.76,6.76,4,6.99,6.99,5,7.16,7.16,3,6.89,6.89
2,8.83,15.65,1,8.74,15.50,4,8.82,15.81,5,8.75,15.91,2,8.76,15.65
5,9.01,24.66,1,8.28,23.78,2,8.31,24.12,3,8.32,24.23,4,8.74,24.39
5,8.68,33.34,1,8.45,32.23,3,8.52,32.64,2,8.31,32.54,4,8.42,32.81
5,8.89,42.214,1,8.65,40.857,3,8.65,41.271,2,8.45,40.980,4,8.55,41.333
