FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,ITALY POSITION,ITALY LAP TIME,ITALY ELAPSED TIME
1,12.80,12.80,3,13.08,13.08,2,12.93,12.93
1,9.61,22.41,3,9.55,22.63,2,9.59,22.52
1,9.37,31.78,3,9.52,32.15,2,9.36,31.88
1,9.45,41.23,3,9.43,41.58,2,9.36,41.24
2,9.50,50.73,3,9.93,51.51,1,9.40,50.64
2,9.56,1:00.29,3,9.68,1:01.19,1,9.40,1:00.04
2,9.35,1:09.64,3,9.44,1:10.63,1,9.27,1:09.31
2,9.12,1:18.76,3,9.46,1:20.09,1,9.31,1:18.62
2,9.32,1:28.08,3,9.42,1:29.51,1,9.22,1:27.84
2,9.49,1:37.57,3,9.49,1:39.00,1,9.22,1:37.06
2,9.42,1:46.99,3,9.80,1:48.80,1,9.51,1:46.57
2,9.42,1:56.41,3,9.91,1:58.71,1,9.48,1:56.05
2,9.43,2:05.84,3,9.57,2:08.28,1,9.26,2:05.31
2,9.17,2:15.01,3,9.74,2:18.02,1,9.27,2:14.58
2,9.07,2:24.08,3,9.51,2:27.53,1,9.26,2:23.84
2,9.23,2:33.31,3,9.74,2:37.27,1,9.27,2:33.11
2,9.51,2:42.82,3,10.01,2:47.28,1,9.66,2:42.77
2,10.16,2:52.98,3,10.14,2:57.42,1,10.02,2:52.79
2,9.42,3:02.40,3,18.35,3:15.77,1,9.48,3:02.27
2,9.33,3:11.73,3,13.08,3:28.85,1,9.32,3:11.59
2,9.34,3:21.07,3,10.34,3:39.19,1,9.20,3:20.79
2,9.50,3:30.57,3,10.22,3:49.41,1,9.29,3:30.08
1,9.54,3:40.11,3,10.54,3:59.95,2,10.10,3:40.18
1,9.68,3:49.79,3,10.24,4:10.19,2,10.07,3:50.25
1,9.60,3:59.39,3,10.07,4:20.26,2,9.63,3:59.88
1,9.46,4:08.85,3,10.19,4:30.45,2,9.23,4:09.11
1,,4:18.114,3,9.94,4:40.371,2,,4:18.139
