Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME
1,7.34,7.34,2,7.51,7.51,3,7.63,7.63,4,7.94,7.94
1,9.47,16.81,2,9.42,16.93,3,9.42,17.05,4,9.32,17.26
1,8.91,25.72,2,8.81,25.74,3,8.82,25.87,4,8.76,26.02
2,9.11,34.83,1,8.95,34.69,3,9.03,34.90,4,8.96,34.98
2,9.14,43.963,1,9.09,43.774,3,9.14,44.037,4,9.28,44.253
