de ROSE Ethan POSITION,de ROSE Ethan LAP TIME,de ROSE Ethan ELAPSED TIME,Artsem ALIATDZINAU POSITION,Artsem ALIATDZINAU LAP TIME,Artsem ALIATDZINAU ELAPSED TIME,Adrian RUDY POSITION,Adrian RUDY LAP TIME,Adrian RUDY ELAPSED TIME,LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME
1,12.98,12.98,2,13.41,13.41,3,13.55,13.55,4,13.67,13.67
1,9.99,22.97,2,9.86,23.27,3,9.82,23.37,4,9.83,23.50
1,9.73,32.70,2,9.68,32.95,3,9.63,33.00,4,9.63,33.13
1,9.57,42.27,4,9.81,42.76,2,9.31,42.31,3,9.38,42.51
3,9.69,51.96,4,9.86,52.62,1,9.28,51.59,2,9.42,51.93
3,9.88,1:01.84,4,10.15,1:02.77,1,9.49,1:01.08,2,9.42,1:01.35
3,10.02,1:11.86,4,10.51,1:13.28,1,9.83,1:10.91,2,9.67,1:11.02
3,10.35,1:22.21,4,10.89,1:24.17,1,10.00,1:20.91,2,10.05,1:21.07
3,10.55,1:32.76,4,11.35,1:35.52,1,10.15,1:31.06,2,10.15,1:31.22
