Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME
4,10.60,10.60,3,10.48,10.48,1,10.36,10.36,6,10.66,10.66,2,10.47,10.47,5,10.61,10.61
5,16.43,27.03,4,16.43,26.91,3,16.43,26.79,6,16.55,27.21,2,16.21,26.68,1,15.92,26.53
5,15.22,42.25,4,15.22,42.13,3,15.19,41.98,6,15.19,42.40,2,15.16,41.84,1,15.17,41.70
6,14.20,56.45,5,14.10,56.23,3,14.14,56.12,1,13.51,55.91,2,14.18,56.02,4,14.49,56.19
6,12.27,1:08.72,3,12.22,1:08.45,5,12.43,1:08.55,1,12.37,1:08.28,2,12.34,1:08.36,4,12.34,1:08.53
5,11.08,1:19.80,4,11.24,1:19.69,1,10.83,1:19.38,2,11.22,1:19.50,3,11.24,1:19.60,6,11.40,1:19.93
4,10.92,1:30.72,3,10.99,1:30.68,2,11.17,1:30.55,5,11.30,1:30.80,1,10.82,1:30.42,6,10.94,1:30.87
5,11.00,1:41.72,3,10.84,1:41.52,2,10.85,1:41.40,4,10.81,1:41.61,1,10.89,1:41.31,6,10.95,1:41.82
5,10.64,1:52.36,3,10.66,1:52.18,2,10.68,1:52.08,4,10.68,1:52.29,1,10.66,1:51.97,6,10.64,1:52.46
4,9.87,2:02.23,3,9.98,2:02.16,2,10.02,2:02.10,5,10.04,2:02.33,1,9.99,2:01.96,6,9.93,2:02.39
2,9.61,2:11.84,5,9.93,2:12.09,3,9.76,2:11.86,4,9.63,2:11.96,1,9.68,2:11.64,6,9.71,2:12.10
2,9.53,2:21.37,4,10.01,2:22.10,6,32.36,2:44.22,5,10.37,2:22.33,1,9.64,2:21.28,3,9.91,2:22.01
2,9.78,2:31.15,4,10.25,2:32.35,6,29.91,3:14.13,5,10.02,2:32.35,1,9.78,2:31.06,3,9.95,2:31.96
1,9.89,2:41.037,5,11.42,2:43.762,6,16.42,3:30.546,4,10.17,2:42.515,2,10.14,2:41.198,3,10.29,2:42.249
