PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,Jing Feng XU POSITION,Jing Feng XU LAP TIME,Jing Feng XU ELAPSED TIME,KIM Dagyeom POSITION,KIM Dagyeom LAP TIME,KIM Dagyeom ELAPSED TIME,Julian MACARAEG POSITION,Julian MACARAEG LAP TIME,Julian MACARAEG ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME
1,6.85,6.85,3,7.29,7.29,2,7.05,7.05,4,7.36,7.36,5,7.50,7.50
1,9.06,15.91,4,9.31,16.60,2,9.15,16.20,5,9.41,16.77,3,9.07,16.57
1,8.58,24.49,5,23.38,39.98,2,8.39,24.59,4,9.07,25.84,3,8.59,25.16
2,9.14,33.63,5,12.33,52.31,1,8.79,33.38,4,9.12,34.96,3,8.58,33.74
2,8.91,42.54,5,11.90,1:04.218,1,9.10,42.48,4,9.35,44.310,3,8.81,42.552
