NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,Adam TIMAR POSITION,Adam TIMAR LAP TIME,Adam TIMAR ELAPSED TIME,MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,Kiichi SHIGEHIRO POSITION,Kiichi SHIGEHIRO LAP TIME,Kiichi SHIGEHIRO ELAPSED TIME,de Vin WONG POSITION,de Vin WONG LAP TIME,de Vin WONG ELAPSED TIME,TSAI Chia-Wei POSITION,TSAI Chia-Wei LAP TIME,TSAI Chia-Wei ELAPSED TIME
6,15.22,15.22,3,14.84,14.84,1,14.56,14.56,5,15.11,15.11,4,14.97,14.97,2,14.69,14.69
2,10.63,25.85,3,11.08,25.92,1,11.19,25.75,6,11.11,26.22,5,11.16,26.13,4,11.24,25.93
1,9.87,35.72,3,9.98,35.90,2,10.05,35.80,5,10.00,36.22,4,9.99,36.12,6,10.40,36.33
3,10.58,46.30,2,10.30,46.20,1,10.24,46.04,5,10.27,46.49,4,10.34,46.46,6,10.28,46.61
3,9.84,56.14,2,9.79,55.99,1,9.82,55.86,4,9.83,56.32,5,10.14,56.60,6,10.12,56.73
3,9.44,1:05.58,2,9.52,1:05.51,1,9.51,1:05.37,4,9.34,1:05.66,5,10.21,1:06.81,6,10.09,1:06.82
3,9.54,1:15.12,4,10.07,1:15.58,1,9.62,1:14.99,2,9.42,1:15.08,6,11.02,1:17.83,5,10.47,1:17.29
2,9.48,1:24.60,4,10.74,1:26.32,3,9.90,1:24.89,1,9.07,1:24.15,6,11.50,1:29.33,5,10.55,1:27.84
2,9.64,1:34.24,4,11.57,1:37.89,3,10.15,1:35.04,1,9.81,1:33.96,6,11.92,1:41.231,5,10.76,1:38.60
