Maxime FORTIN POSITION,Maxime FORTIN LAP TIME,Maxime FORTIN ELAPSED TIME,Takayuki MURATAKE POSITION,Takayuki MURATAKE LAP TIME,Takayuki MURATAKE ELAPSED TIME,Vladimir KUZOVNIKOV POSITION,Vladimir KUZOVNIKOV LAP TIME,Vladimir KUZOVNIKOV ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Boris FRANKOVIC POSITION,Boris FRANKOVIC LAP TIME,Boris FRANKOVIC ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
3,8.463,8.463,1,8.244,8.244,4,8.865,8.865,7,9.406,9.406,2,8.385,8.385,6,9.199,9.199,5,9.041,9.041
3,13.205,21.667,1,13.199,21.443,4,12.957,21.822,7,12.913,22.319,2,13.125,21.510,6,12.858,22.058,5,12.981,22.022
3,13.112,34.779,2,13.274,34.717,4,13.183,35.005,7,13.103,35.422,1,13.049,34.559,6,13.276,35.333,5,13.179,35.201
1,11.604,46.383,2,11.668,46.385,5,11.858,46.863,7,11.700,47.122,4,11.882,46.441,3,11.066,46.400,6,11.760,46.961
2,10.663,57.046,5,10.821,57.206,3,10.230,57.093,7,10.652,57.773,1,10.600,57.041,4,10.765,57.164,6,10.636,57.597
2,10.016,1:07.062,3,9.906,1:07.112,4,10.046,1:07.139,6,9.984,1:07.758,1,9.883,1:06.924,7,11.041,1:08.205,5,9.789,1:07.386
4,10.390,1:17.452,3,10.328,1:17.440,1,10.120,1:17.259,6,10.068,1:17.825,2,10.494,1:17.418,7,10.479,1:18.683,5,10.336,1:17.722
4,10.626,1:28.079,3,10.614,1:28.054,1,10.464,1:27.723,6,10.577,1:28.403,2,10.547,1:27.965,7,11.239,1:29.922,5,10.498,1:28.220
3,10.042,1:38.120,2,9.981,1:38.034,5,10.559,1:38.282,6,10.187,1:38.590,1,10.055,1:38.020,7,10.763,1:40.685,4,10.005,1:38.225
2,9.956,1:48.077,1,9.852,1:47.886,6,25.736,2:04.018,4,9.925,1:48.515,3,10.285,1:48.304,5,11.446,1:52.131,7,30.212,2:08.438
3,9.722,1:57.799,1,9.652,1:57.538,6,16.259,2:20.277,4,9.384,1:57.899,2,9.378,1:57.683,5,11.838,2:03.969,7,15.210,2:23.648
4,9.544,2:07.342,2,9.571,2:07.109,6,13.221,2:33.498,1,9.075,2:06.975,3,9.504,2:07.187,5,12.989,2:16.958,7,11.810,2:35.458
3,9.394,2:16.737,4,9.924,2:17.033,6,12.480,2:45.978,1,9.225,2:16.200,2,9.463,2:16.649,5,11.933,2:28.891,7,11.058,2:46.516
3,9.892,2:26.629,4,10.199,2:27.231,6,13.157,2:59.135,1,9.701,2:25.901,2,9.870,2:26.519,5,11.869,2:40.760,7,12.821,2:59.336
