CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME
2,9.214,9.214,1,9.144,9.144,3,9.318,9.318,5,9.558,9.558,4,9.375,9.375
1,12.878,22.091,3,13.171,22.315,2,12.987,22.305,5,14.681,24.239,4,13.043,22.417
2,12.409,34.500,1,12.166,34.480,3,12.334,34.639,5,10.569,34.808,4,12.339,34.756
2,12.000,46.499,1,11.769,46.249,4,12.198,46.836,5,12.102,46.909,3,12.017,46.773
2,11.638,58.137,3,11.889,58.137,5,11.643,58.478,1,10.803,57.711,4,11.626,58.399
3,10.981,1:09.117,2,10.949,1:09.085,5,10.863,1:09.341,1,10.960,1:08.671,4,10.790,1:09.189
1,10.757,1:19.874,3,10.844,1:19.928,5,10.875,1:20.215,2,11.208,1:19.879,4,10.874,1:20.062
1,9.862,1:29.735,2,9.861,1:29.789,3,9.636,1:29.851,4,9.996,1:29.875,5,9.954,1:30.016
3,9.796,1:39.531,1,9.505,1:39.294,5,9.907,1:39.757,2,9.585,1:39.459,4,9.621,1:39.636
2,9.118,1:48.649,3,9.576,1:48.870,5,9.364,1:49.121,1,9.185,1:48.643,4,9.400,1:49.035
1,9.447,1:58.095,3,9.461,1:58.330,4,9.387,1:58.507,2,9.601,1:58.244,5,9.605,1:58.640
2,9.565,2:07.660,4,9.596,2:07.926,5,9.529,2:08.035,1,9.205,2:07.448,3,9.285,2:07.924
3,9.528,2:17.188,5,9.509,2:17.435,2,9.054,2:17.088,1,9.436,2:16.884,4,9.504,2:17.428
3,9.65,2:26.837,1,9.16,2:26.592,5,10.02,2:27.105,2,9.75,2:26.628,4,9.47,2:26.893
