Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME
1,6.87,6.87,3,7.16,7.16,2,7.01,7.01
2,9.16,16.03,3,9.00,16.16,1,8.97,15.98
3,8.80,24.83,2,8.54,24.70,1,8.70,24.68
3,8.88,33.71,2,8.78,33.48,1,8.77,33.45
3,9.08,42.790,1,8.99,42.469,2,9.10,42.544
