Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,YU Jiyang POSITION,YU Jiyang LAP TIME,YU Jiyang ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
1,6.87,6.87,2,6.97,6.97,3,7.13,7.13,4,7.26,7.26
2,9.52,16.39,1,9.35,16.32,4,9.35,16.48,3,9.18,16.44
2,8.86,25.25,1,8.85,25.17,3,9.19,25.67,4,27.91,44.35
2,8.90,34.15,1,8.87,34.04,3,9.17,34.84,4,24.32,1:08.67
1,8.90,43.050,2,9.02,43.060,0,,PEN,3,12.08,1:20.743
