Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME
3,10.34,,6,10.84,10.84,5,10.68,10.68,2,10.32,10.32,4,10.52,10.52,1,10.25,10.25
4,14.65,,6,14.48,25.32,5,14.50,25.18,1,14.41,24.73,3,14.36,24.88,2,14.60,24.85
4,14.10,,6,14.08,39.40,5,14.08,39.26,2,14.06,38.79,3,14.06,38.94,1,13.80,38.65
1,12.43,,6,12.77,52.17,5,12.72,51.98,2,12.82,51.61,4,12.89,51.83,3,12.99,51.64
3,11.45,,6,11.13,1:03.30,1,10.79,1:02.77,2,11.21,1:02.82,4,11.24,1:03.07,5,11.51,1:03.15
2,10.39,,6,10.37,1:13.67,1,10.50,1:13.27,4,10.62,1:13.44,3,10.34,1:13.41,5,10.33,1:13.48
4,10.24,,6,10.18,1:23.85,2,10.14,1:23.41,5,10.28,1:23.72,3,10.09,1:23.50,1,9.80,1:23.28
4,9.97,,6,9.99,1:33.84,2,10.00,1:33.41,5,10.01,1:33.73,3,9.99,1:33.49,1,10.03,1:33.31
3,10.00,,6,10.05,1:43.89,1,9.90,1:43.31,4,9.96,1:43.69,5,10.21,1:43.70,2,10.06,1:43.37
2,9.58,,5,9.47,1:53.36,1,9.55,1:52.86,6,9.71,1:53.40,4,9.49,1:53.19,3,9.80,1:53.17
5,10.15,,3,9.57,2:02.93,1,9.64,2:02.50,4,9.63,2:03.03,6,29.85,2:23.04,2,9.43,2:02.60
5,9.64,,3,9.39,2:12.32,1,9.55,2:12.05,4,9.70,2:12.73,6,11.83,2:34.87,2,9.58,2:12.18
4,9.48,,3,9.54,2:21.86,1,9.53,2:21.58,5,9.93,2:22.66,6,11.24,2:46.11,2,9.55,2:21.73
4,9.75,,3,9.51,2:31.37,1,9.57,2:31.15,4,10.23,2:32.891,6,10.86,2:56.97,2,9.54,2:31.27
