HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Sebastian KLOSINSKI POSITION,Sebastian KLOSINSKI LAP TIME,Sebastian KLOSINSKI ELAPSED TIME
2,8.60,8.60,3,8.69,8.69,1,8.49,8.49,6,9.00,9.00,4,8.80,8.80,5,8.91,8.91
2,12.73,21.33,3,12.76,21.45,1,12.77,21.26,5,12.68,21.68,4,12.76,21.56,6,12.89,21.80
3,12.62,33.95,2,12.40,33.85,1,12.58,33.84,5,12.59,34.27,4,12.54,34.10,6,12.57,34.37
3,11.45,45.40,1,11.35,45.20,2,11.46,45.30,6,11.32,45.59,4,11.39,45.49,5,11.17,45.54
4,10.71,56.11,2,10.63,55.83,1,10.46,55.76,6,10.66,56.25,5,10.72,56.21,3,10.41,55.95
4,10.30,1:06.41,2,10.37,1:06.20,1,10.36,1:06.12,6,10.34,1:06.59,5,10.29,1:06.50,3,10.37,1:06.32
4,10.28,1:16.69,2,10.36,1:16.56,1,10.36,1:16.48,6,10.49,1:17.08,5,10.31,1:16.81,3,10.34,1:16.66
1,9.15,1:25.84,4,9.52,1:26.08,2,9.48,1:25.96,6,9.50,1:26.58,3,9.22,1:26.03,5,9.65,1:26.31
2,9.62,1:35.46,4,9.60,1:35.68,1,9.44,1:35.40,6,9.36,1:35.94,3,9.57,1:35.60,5,9.51,1:35.82
2,9.38,1:44.84,4,9.38,1:45.06,1,9.35,1:44.75,6,9.41,1:45.35,3,9.36,1:44.96,5,9.44,1:45.26
2,9.36,1:54.20,4,9.41,1:54.47,1,9.35,1:54.10,5,9.66,1:55.01,3,9.40,1:54.36,6,9.86,1:55.12
2,9.25,2:03.45,4,9.27,2:03.74,1,9.26,2:03.36,5,9.97,2:04.98,3,9.32,2:03.68,6,10.22,2:05.34
2,9.49,2:12.94,4,9.76,2:13.50,1,9.55,2:12.91,6,33.19,2:38.17,3,9.74,2:13.42,5,10.76,2:16.10
1,9.73,2:22.664,3,9.54,2:23.037,2,9.86,2:22.765,6,18.88,2:57.048,4,9.86,2:23.274,5,11.60,2:27.696
