QU Chunyu POSITION,QU Chunyu LAP TIME,QU Chunyu ELAPSED TIME,ZHANG Chutong POSITION,ZHANG Chutong LAP TIME,ZHANG Chutong ELAPSED TIME,LEE Yu Bin POSITION,LEE Yu Bin LAP TIME,LEE Yu Bin ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,DOAK Rikki POSITION,DOAK Rikki LAP TIME,DOAK Rikki ELAPSED TIME
2,13.38,13.38,1,13.33,13.33,4,13.60,13.60,3,13.45,13.45,5,13.85,13.85
3,10.08,23.46,1,9.91,23.24,4,10.01,23.61,2,9.90,23.35,5,9.80,23.65
3,9.80,33.26,1,9.80,33.04,4,9.67,33.28,2,9.77,33.12,5,9.82,33.47
3,9.79,43.05,1,9.73,42.77,4,9.85,43.13,2,9.74,42.86,5,9.75,43.22
3,9.67,52.72,1,9.75,52.52,4,9.70,52.83,2,9.76,52.62,5,9.72,52.94
3,9.80,1:02.52,1,9.80,1:02.32,4,9.77,1:02.60,2,9.77,1:02.39,5,9.77,1:02.71
5,9.93,1:12.45,1,9.86,1:12.18,3,9.69,1:12.29,2,9.85,1:12.24,4,9.71,1:12.42
5,10.26,1:22.71,2,9.90,1:22.08,1,9.48,1:21.77,3,9.89,1:22.13,4,9.87,1:22.29
5,11.00,1:33.71,2,10.06,1:32.14,1,9.71,1:31.48,3,10.13,1:32.26,4,10.03,1:32.32
