de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME,HAYWARD Charlotte POSITION,HAYWARD Charlotte LAP TIME,HAYWARD Charlotte ELAPSED TIME,TOPOLSKA Gabriela POSITION,TOPOLSKA Gabriela LAP TIME,TOPOLSKA Gabriela ELAPSED TIME
1,13.28,13.28,2,13.34,13.34,4,13.61,13.61,5,13.77,13.77,3,13.49,13.49
1,10.07,23.35,2,10.13,23.47,4,10.11,23.72,5,10.10,23.87,3,10.14,23.63
1,9.92,33.27,2,9.91,33.38,4,9.84,33.56,5,9.91,33.78,3,9.83,33.46
1,9.62,42.89,2,9.61,42.99,4,9.79,43.35,5,9.83,43.61,3,9.66,43.12
2,9.57,52.46,1,9.38,52.37,4,9.70,53.05,5,10.33,53.94,3,9.44,52.56
2,9.62,1:02.08,1,9.61,1:01.98,4,10.10,1:03.15,5,11.00,1:04.94,3,9.67,1:02.23
2,9.75,1:11.83,1,9.73,1:11.71,4,10.56,1:13.71,5,11.72,1:16.66,3,9.70,1:11.93
2,9.87,1:21.70,1,9.85,1:21.56,4,11.05,1:24.76,5,12.30,1:28.96,3,9.97,1:21.90
2,10.04,1:31.74,1,10.07,1:31.63,4,11.43,1:36.19,5,12.95,1:41.91,3,10.26,1:32.16
