Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,Danabek KHAIROV POSITION,Danabek KHAIROV LAP TIME,Danabek KHAIROV ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME
3,8.76,8.76,6,9.02,9.02,5,8.88,8.88,2,8.64,8.64,4,8.82,8.82,1,8.50,8.50
5,11.66,20.42,6,11.56,20.58,4,11.50,20.38,3,11.65,20.29,1,11.30,20.12,2,11.71,20.21
5,11.12,31.54,6,11.08,31.66,1,10.71,31.09,4,11.14,31.43,2,11.11,31.23,3,11.09,31.30
6,11.06,42.60,5,10.83,42.49,2,11.12,42.21,4,10.99,42.42,3,11.00,42.23,1,10.84,42.14
4,10.68,53.28,5,10.81,53.30,3,10.97,53.18,6,30.47,1:12.89,2,10.82,53.05,1,10.84,52.98
5,10.56,1:03.84,4,10.43,1:03.73,3,10.42,1:03.60,6,12.22,1:25.11,2,10.45,1:03.50,1,10.39,1:03.37
5,10.07,1:13.91,4,10.15,1:13.88,3,10.19,1:13.79,6,9.97,1:35.08,2,10.11,1:13.61,1,10.16,1:13.53
3,9.20,1:23.11,5,9.43,1:23.31,4,9.35,1:23.14,6,10.44,1:45.52,1,9.20,1:22.81,2,9.40,1:22.93
3,9.28,1:32.39,5,9.41,1:32.72,4,9.49,1:32.63,6,10.33,1:55.85,2,9.49,1:32.30,1,9.23,1:32.16
3,9.12,1:41.51,5,9.77,1:42.49,4,9.27,1:41.90,6,10.26,2:06.11,2,9.03,1:41.33,1,9.08,1:41.24
3,9.11,1:50.62,5,10.48,1:52.97,4,9.42,1:51.32,6,10.34,2:16.45,2,9.13,1:50.46,1,9.08,1:50.32
3,9.10,1:59.72,5,11.27,2:04.24,4,9.75,2:01.07,6,10.55,2:27.00,2,9.12,1:59.58,1,9.14,1:59.46
3,9.28,2:09.00,5,11.80,2:16.04,4,10.27,2:11.34,6,10.45,2:37.45,2,9.35,2:08.93,1,9.25,2:08.71
3,10.07,2:19.070,5,11.66,2:27.693,4,10.58,2:21.920,6,10.98,2:48.422,2,9.84,2:18.770,1,9.58,2:18.287
