van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,Vera TRYBUL POSITION,Vera TRYBUL LAP TIME,Vera TRYBUL ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,IVANDIC Danijela POSITION,IVANDIC Danijela LAP TIME,IVANDIC Danijela ELAPSED TIME
1,13.76,13.76,2,13.84,13.84,4,14.03,14.03,3,13.94,13.94,5,14.28,14.28
1,10.91,24.67,1,10.83,24.67,4,10.85,24.88,3,10.86,24.80,5,10.70,24.98
2,10.17,34.84,1,10.09,34.76,4,10.16,35.04,3,10.16,34.96,5,10.25,35.23
1,9.91,44.75,2,10.00,44.76,4,9.89,44.93,3,9.91,44.87,5,10.05,45.28
1,9.59,54.34,2,9.70,54.46,4,9.70,54.63,3,9.70,54.57,5,10.36,55.64
1,9.63,1:03.97,2,9.60,1:04.06,4,9.63,1:04.26,3,9.59,1:04.16,5,10.82,1:06.46
1,9.49,1:13.46,3,9.56,1:13.62,4,9.58,1:13.84,2,9.40,1:13.56,5,11.48,1:17.94
1,9.59,1:23.05,3,9.78,1:23.40,4,9.76,1:23.60,2,9.57,1:23.13,5,12.31,1:30.25
1,9.81,1:32.849,3,9.80,1:33.192,4,10.18,1:33.757,2,9.84,1:32.948,5,12.66,1:42.886
