Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Jeff SCHOLTEN POSITION,Jeff SCHOLTEN LAP TIME,Jeff SCHOLTEN ELAPSED TIME,SONG Suk-Woo POSITION,SONG Suk-Woo LAP TIME,SONG Suk-Woo ELAPSED TIME
3,12.212,12.212,2,12.203,12.203,4,12.473,12.473,1,12.088,12.088
1,9.565,21.776,2,9.612,21.815,4,9.578,22.051,3,9.759,21.847
2,9.109,30.884,3,9.179,30.994,4,9.323,31.374,1,9.025,30.872
2,9.582,40.466,3,9.663,40.656,4,9.508,40.882,1,9.568,40.439
1,9.537,50.003,3,9.633,50.289,4,9.609,50.490,2,9.626,50.065
2,9.450,59.452,3,9.321,59.609,4,9.453,59.943,1,9.171,59.236
3,9.375,1:08.827,1,9.136,1:08.744,4,9.224,1:09.166,2,9.563,1:08.798
3,9.448,1:18.274,1,9.028,1:17.772,4,9.313,1:18.479,2,9.162,1:17.960
3,9.60,1:27.867,1,9.64,1:27.406,4,9.60,1:28.075,2,9.60,1:27.555
