CHANG Hyun Woo POSITION,CHANG Hyun Woo LAP TIME,CHANG Hyun Woo ELAPSED TIME,Andras SZIKLASI POSITION,Andras SZIKLASI LAP TIME,Andras SZIKLASI ELAPSED TIME,KIM Tae Sung POSITION,KIM Tae Sung LAP TIME,KIM Tae Sung ELAPSED TIME,Jens van 'T WOUT POSITION,Jens van 'T WOUT LAP TIME,Jens van 'T WOUT ELAPSED TIME,Felix PIGEON POSITION,Felix PIGEON LAP TIME,Felix PIGEON ELAPSED TIME
3,7.12,7.12,2,6.89,6.89,1,6.76,6.76,4,7.18,,5,7.26,7.26
3,8.79,15.91,2,8.91,15.80,1,8.80,15.56,4,8.87,,5,9.18,16.44
3,8.36,24.27,2,8.37,24.17,1,8.34,23.90,4,8.31,,5,8.60,25.04
3,8.49,32.76,2,8.55,32.72,1,8.44,32.34,4,8.50,,5,8.76,33.80
2,8.65,41.41,4,9.17,41.89,1,8.62,40.96,3,8.89,,4,9.03,42.838
