PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,Shun SAITO POSITION,Shun SAITO LAP TIME,Shun SAITO ELAPSED TIME,LIM Hyo Jun POSITION,LIM Hyo Jun LAP TIME,LIM Hyo Jun ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
1,6.88,6.88,2,7.02,7.02,5,7.93,7.93,4,7.38,7.38,3,7.16,7.16
1,9.05,15.93,3,9.10,16.12,5,8.95,16.88,4,8.82,16.20,1,8.77,15.93
4,8.84,24.77,2,8.51,24.63,5,8.45,25.33,3,8.44,24.64,1,8.55,24.48
4,8.85,33.62,3,8.76,33.39,5,8.55,33.88,2,8.48,33.12,1,8.56,33.04
5,34.40,1:08.02,3,8.65,42.04,4,8.75,42.63,0,8.61,41.73,0,8.72,41.76
