DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Samantha MORRISON POSITION,Samantha MORRISON LAP TIME,Samantha MORRISON ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,Julia ALBERT POSITION,Julia ALBERT LAP TIME,Julia ALBERT ELAPSED TIME
5,18.06,18.06,4,17.91,17.91,2,17.44,17.44,3,17.70,17.70,1,17.04,17.04
5,11.98,30.04,4,12.04,29.95,2,12.14,29.58,3,12.04,29.74,1,12.40,29.44
5,11.30,41.34,4,11.32,41.27,2,11.45,41.03,3,11.30,41.04,1,11.47,40.91
5,10.30,51.64,4,10.24,51.51,2,10.28,51.31,1,10.14,51.18,3,10.53,51.44
4,10.17,1:01.81,5,10.36,1:01.87,2,10.31,1:01.62,1,10.36,1:01.54,3,10.28,1:01.72
5,10.51,1:12.32,1,9.84,1:11.71,3,10.36,1:11.98,2,10.34,1:11.88,4,10.46,1:12.18
4,10.13,1:22.45,1,9.85,1:21.56,3,9.75,1:21.73,2,9.76,1:21.64,5,10.32,1:22.50
4,10.10,1:32.55,1,9.95,1:31.51,3,9.94,1:31.67,2,9.97,1:31.61,5,10.47,1:32.97
4,10.35,1:42.90,1,9.98,1:41.49,3,10.04,1:41.71,2,9.95,1:41.56,5,10.54,1:43.51
