SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME
2,10.42,10.42,5,10.63,10.63,1,10.27,10.27,6,10.78,10.78,4,10.50,10.50,3,10.47,10.47
4,14.41,24.83,1,13.74,24.37,3,14.42,24.69,6,14.23,25.01,5,14.40,24.90,2,14.00,24.47
4,12.48,37.31,1,12.48,36.85,3,12.48,37.17,6,12.55,37.56,5,12.53,37.43,2,12.53,37.00
4,11.54,48.85,1,11.58,48.43,3,11.55,48.72,6,11.56,49.12,5,11.57,49.00,2,11.53,48.53
4,10.87,59.72,2,11.13,59.56,1,10.83,59.55,6,10.87,59.99,5,10.86,59.86,3,11.10,59.63
4,10.21,1:09.93,2,10.16,1:09.72,1,10.07,1:09.62,6,10.13,1:10.12,5,10.15,1:10.01,3,10.19,1:09.82
4,9.91,1:19.84,3,10.01,1:19.73,1,9.94,1:19.56,6,9.93,1:20.05,5,9.91,1:19.92,2,9.83,1:19.65
5,10.00,1:29.84,3,9.87,1:29.60,1,9.82,1:29.38,6,9.88,1:29.93,4,9.77,1:29.69,2,9.83,1:29.48
5,9.68,1:39.52,3,9.74,1:39.34,1,9.75,1:39.13,6,9.72,1:39.65,4,9.71,1:39.40,2,9.68,1:39.16
5,9.58,1:49.10,3,9.53,1:48.87,2,9.54,1:48.67,6,9.57,1:49.22,4,9.56,1:48.96,1,9.46,1:48.62
5,9.46,1:58.56,4,9.54,1:58.41,1,9.31,1:57.98,6,9.56,1:58.78,3,9.41,1:58.37,2,9.55,1:58.17
5,9.63,2:08.19,4,9.73,2:08.14,1,9.26,2:07.24,6,9.70,2:08.48,2,9.14,2:07.51,3,9.63,2:07.80
3,9.49,2:17.68,5,10.10,2:18.24,1,9.50,2:16.74,6,9.88,2:18.36,2,9.37,2:16.88,4,9.90,2:17.70
3,9.79,2:27.47,6,10.29,2:28.533,1,9.84,2:26.58,5,9.93,2:28.29,2,9.82,2:26.70,4,10.11,2:27.81
