Mikayla BIGGS POSITION,Mikayla BIGGS LAP TIME,Mikayla BIGGS ELAPSED TIME,Tetyana ZARVANSKA POSITION,Tetyana ZARVANSKA LAP TIME,Tetyana ZARVANSKA ELAPSED TIME,Eleanora SAMOILAVA POSITION,Eleanora SAMOILAVA LAP TIME,Eleanora SAMOILAVA ELAPSED TIME,Angelina TARASOVA POSITION,Angelina TARASOVA LAP TIME,Angelina TARASOVA ELAPSED TIME,Sema CIRTI POSITION,Sema CIRTI LAP TIME,Sema CIRTI ELAPSED TIME,Ina LES POSITION,Ina LES LAP TIME,Ina LES ELAPSED TIME
2,10.07,10.07,4,10.23,10.23,5,10.34,10.34,1,9.94,9.94,3,10.14,10.14,6,10.41,10.41
3,17.42,27.49,2,17.10,27.33,5,17.43,27.77,1,17.26,27.20,4,17.50,27.64,6,17.47,27.88
2,15.00,42.49,4,15.29,42.62,1,14.62,42.39,3,15.31,42.51,5,15.02,42.66,6,15.01,42.89
3,11.47,53.96,5,11.56,54.18,1,11.29,53.68,2,11.32,53.83,4,11.51,54.17,6,11.63,54.52
3,10.08,1:04.04,5,10.26,1:04.44,1,10.10,1:03.78,2,10.07,1:03.90,4,9.95,1:04.12,6,10.97,1:05.49
3,9.96,1:14.00,5,10.06,1:14.50,1,10.01,1:13.79,2,9.99,1:13.89,4,9.97,1:14.09,6,11.45,1:16.94
3,10.19,1:24.19,5,10.34,1:24.84,1,10.24,1:24.03,2,10.21,1:24.10,4,10.19,1:24.28,6,12.02,1:28.96
3,10.61,1:34.80,5,10.89,1:35.73,1,10.57,1:34.60,2,10.61,1:34.71,4,10.63,1:34.91,6,12.35,1:41.31
3,10.80,1:45.60,5,11.26,1:46.99,1,10.85,1:45.45,2,10.82,1:45.53,4,10.79,1:45.70,6,12.80,1:54.11
1,11.15,1:56.75,5,11.77,1:58.76,3,11.42,1:56.87,2,11.25,1:56.78,4,11.21,1:56.91,6,13.39,2:07.50
1,10.65,2:07.40,5,12.62,2:11.38,4,12.02,2:08.89,2,10.64,2:07.42,3,10.96,2:07.87,6,13.09,2:20.59
2,10.62,2:18.02,5,13.02,2:24.40,4,12.01,2:20.90,1,10.48,2:17.90,3,12.38,2:20.25,6,13.03,2:33.62
2,10.63,2:28.65,5,13.27,2:37.67,4,11.74,2:32.64,1,10.65,2:28.55,3,12.35,2:32.60,6,13.13,2:46.75
1,10.49,2:39.113,5,13.07,2:50.725,3,11.21,2:43.836,2,10.81,2:39.344,4,11.76,2:44.341,6,13.00,2:59.729
