J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME
1,12.60,12.60,2,12.69,12.69,3,12.78,12.78,4,12.93,12.93
2,9.88,22.48,3,9.88,22.57,1,9.51,22.29,4,9.75,22.68
1,9.60,32.08,3,9.64,32.21,2,9.79,32.08,4,9.72,32.40
1,9.29,41.37,3,9.30,41.51,2,9.29,41.37,4,9.17,41.57
2,9.25,50.62,3,9.22,50.73,1,9.17,50.54,4,9.26,50.83
2,9.06,59.68,3,9.04,59.77,1,9.02,59.56,4,9.05,59.88
2,8.84,1:08.52,3,8.83,1:08.60,1,8.93,1:08.49,4,8.84,1:08.72
2,8.92,1:17.44,3,8.88,1:17.48,1,8.88,1:17.37,4,8.94,1:17.66
2,9.20,1:26.638,3,9.27,1:26.742,1,9.15,1:26.513,4,9.23,1:26.886
