Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Jamie MACDONALD POSITION,Jamie MACDONALD LAP TIME,Jamie MACDONALD ELAPSED TIME,ZHANG Qichao POSITION,ZHANG Qichao LAP TIME,ZHANG Qichao ELAPSED TIME,KIM Ye Jin POSITION,KIM Ye Jin LAP TIME,KIM Ye Jin ELAPSED TIME,LEE So Youn POSITION,LEE So Youn LAP TIME,LEE So Youn ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME
3,14.26,14.26,4,14.39,14.39,5,14.46,14.46,1,14.03,14.03,6,14.57,14.57,2,14.13,14.13
3,10.87,25.13,4,10.88,25.27,5,10.98,25.44,2,11.00,25.03,6,11.00,25.57,1,10.79,24.92
4,10.21,35.34,3,9.97,35.24,5,10.01,35.45,2,10.19,35.22,6,10.00,35.57,1,10.19,35.11
4,9.83,45.17,3,9.74,44.98,5,9.93,45.38,2,9.75,44.97,6,9.92,45.49,1,9.72,44.83
3,9.43,54.60,2,9.52,54.50,4,9.43,54.81,6,10.17,55.14,5,9.44,54.93,1,9.58,54.41
3,9.42,1:04.02,2,9.51,1:04.01,4,9.36,1:04.17,6,9.53,1:04.67,5,9.36,1:04.29,1,9.46,1:03.87
2,9.41,1:13.43,3,9.57,1:13.58,3,9.41,1:13.58,6,9.39,1:14.06,5,9.48,1:13.77,1,9.50,1:13.37
2,9.64,1:23.07,5,9.81,1:23.39,3,9.61,1:23.19,6,9.48,1:23.54,4,9.53,1:23.30,1,9.59,1:22.96
2,9.85,1:32.903,5,9.97,1:33.342,4,9.96,1:33.132,6,10.13,1:33.650,3,9.68,1:32.972,1,9.82,1:32.779
