Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Matthieu de BOISSET POSITION,Matthieu de BOISSET LAP TIME,Matthieu de BOISSET ELAPSED TIME,Laszlo VRENCEAN POSITION,Laszlo VRENCEAN LAP TIME,Laszlo VRENCEAN ELAPSED TIME
2,6.982,6.982,3,7.203,7.203,1,6.831,6.831,4,7.378,7.378
2,9.396,16.377,3,9.590,16.792,1,9.352,16.182,4,9.744,17.121
3,9.403,25.780,2,8.735,25.526,1,9.201,25.383,4,9.627,26.748
3,9.282,35.061,2,9.344,34.870,1,9.466,34.848,4,9.825,36.572
3,9.69,44.749,1,9.56,44.423,2,9.69,44.529,4,10.14,46.710
