Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,CHENG Eric I POSITION,CHENG Eric I LAP TIME,CHENG Eric I ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME
4,13.1456,13.1456,1,12.9313,12.9313,3,13.0393,13.0393,2,12.9877,12.9877
4,10.1523,23.2979,2,10.3246,23.2559,1,10.0831,23.1224,3,10.2774,23.2651
3,10.1452,33.4431,4,10.3617,33.6176,1,10.2221,33.3445,2,10.1352,33.4003
1,9.5665,43.0096,4,9.6843,43.3019,3,9.7391,43.0836,2,9.6327,43.0330
1,9.6778,52.6874,4,9.7476,53.0495,3,9.6547,52.7383,2,9.6925,52.7255
1,9.3326,1:02.0200,4,9.5002,1:02.5497,3,9.5129,1:02.2512,2,9.3713,1:02.0968
2,9.6010,1:11.6210,4,10.1219,1:12.6716,3,9.4961,1:11.7473,1,9.4107,1:11.5075
2,9.3364,1:20.9574,4,10.2933,1:22.9649,3,9.2170,1:20.9643,1,9.2064,1:20.7139
3,9.98,1:30.935,4,10.55,1:33.513,1,9.27,1:30.227,2,9.53,1:30.239
