Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,Junji ITO POSITION,Junji ITO LAP TIME,Junji ITO ELAPSED TIME
0,9.317,9.317,0,9.453,9.453,0,9.271,9.271,0,10.257,10.257,0,9.421,9.421
0,12.805,22.122,0,12.753,22.206,0,12.478,21.748,0,12.190,22.446,0,12.462,21.882
0,12.310,34.432,0,12.367,34.573,0,12.708,34.457,0,12.484,34.931,0,12.480,34.362
0,12.347,46.779,0,12.267,46.839,0,12.073,46.530,0,11.987,46.917,0,12.291,46.654
0,10.833,57.612,0,10.831,57.670,0,10.709,57.239,0,10.147,57.064,0,10.579,57.232
0,9.881,1:07.492,0,9.810,1:07.480,0,10.033,1:07.272,0,10.519,1:07.583,0,10.054,1:07.286
0,9.651,1:17.143,0,9.880,1:17.359,0,10.115,1:17.387,0,10.191,1:17.774,0,9.855,1:17.140
0,10.076,1:27.219,0,9.632,1:26.991,0,10.031,1:27.418,0,9.742,1:27.516,0,10.007,1:27.147
0,9.646,1:36.865,0,9.539,1:36.530,0,9.565,1:36.983,0,9.538,1:37.054,0,9.416,1:36.563
0,9.672,1:46.537,0,9.537,1:46.067,0,9.640,1:46.622,0,9.304,1:46.358,0,9.791,1:46.354
0,9.195,1:55.732,0,9.365,1:55.432,0,9.291,1:55.914,0,9.363,1:55.721,0,9.421,1:55.775
0,9.239,2:04.971,0,9.265,2:04.697,0,9.257,2:05.170,0,8.951,2:04.671,0,9.609,2:05.384
0,9.293,2:14.264,0,9.361,2:14.058,0,8.971,2:14.141,0,9.343,2:14.015,0,10.277,2:15.661
0,9.632,2:23.897,0,9.433,2:23.491,0,10.216,2:24.357,0,9.578,2:23.592,0,11.934,2:27.595
