Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
1,14.052,14.052,2,14.328,14.328,4,14.452,14.452,3,14.334,14.334
1,10.379,24.430,2,10.335,24.663,3,10.222,24.673,4,10.457,24.791
1,10.055,34.485,4,10.034,34.697,3,10.017,34.690,2,9.837,34.627
1,9.942,44.426,3,9.978,44.674,2,9.960,44.649,4,10.146,44.773
1,9.972,54.398,3,9.853,54.527,2,9.790,54.439,4,9.848,54.621
2,10.056,1:04.454,4,10.300,1:04.827,1,9.953,1:04.391,3,10.201,1:04.821
3,10.400,1:14.853,4,10.406,1:15.232,2,10.343,1:14.733,1,9.881,1:14.702
3,10.455,1:25.308,4,10.252,1:25.484,1,10.338,1:25.071,2,10.554,1:25.256
3,10.42,1:35.724,4,10.37,1:35.853,1,10.26,1:35.324,2,10.32,1:35.574
