Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Josephine MESCHNIK POSITION,Josephine MESCHNIK LAP TIME,Josephine MESCHNIK ELAPSED TIME,Anastassiya KUZNETSOVA POSITION,Anastassiya KUZNETSOVA LAP TIME,Anastassiya KUZNETSOVA ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
2,10.01,10.01,4,10.32,10.32,3,10.20,10.20,5,10.61,10.61,1,9.84,9.84
2,13.57,23.58,4,13.51,23.83,3,13.49,23.69,5,13.34,23.95,1,13.60,23.44
2,12.90,36.48,4,12.82,36.65,3,12.91,36.60,5,12.78,36.73,1,12.91,36.35
2,12.89,49.37,4,12.93,49.58,3,12.89,49.49,5,12.96,49.69,1,12.89,49.24
2,12.70,1:02.07,4,12.69,1:02.27,3,12.68,1:02.17,5,12.70,1:02.39,1,12.70,1:01.94
2,12.40,1:14.47,4,12.45,1:14.72,3,12.44,1:14.61,5,12.45,1:14.84,1,12.44,1:14.38
3,12.36,1:26.83,1,12.06,1:26.78,4,12.40,1:27.01,5,12.23,1:27.07,2,12.40,1:26.78
3,11.06,1:37.89,1,10.87,1:37.65,4,10.97,1:37.98,5,11.00,1:38.07,2,10.97,1:37.75
1,10.72,1:48.61,2,11.07,1:48.72,4,11.00,1:48.98,5,11.02,1:49.09,3,11.07,1:48.82
1,10.26,1:58.87,2,10.24,1:58.96,4,10.23,1:59.21,5,10.20,1:59.29,3,10.28,1:59.10
1,10.26,2:09.13,2,10.26,2:09.22,4,10.25,2:09.46,5,10.24,2:09.53,3,10.23,2:09.33
1,10.06,2:19.19,2,10.05,2:19.27,4,10.10,2:19.56,5,10.15,2:19.68,3,10.13,2:19.46
1,10.06,2:29.25,2,10.07,2:29.34,3,10.13,2:29.69,5,10.33,2:30.01,4,10.41,2:29.87
1,9.95,2:39.201,2,9.98,2:39.321,3,10.16,2:39.850,5,10.43,2:40.433,4,10.43,2:40.293
