Jonathan GARCIA POSITION,Jonathan GARCIA LAP TIME,Jonathan GARCIA ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Alexis YANG POSITION,Alexis YANG LAP TIME,Alexis YANG ELAPSED TIME,Minto SEKAI POSITION,Minto SEKAI LAP TIME,Minto SEKAI ELAPSED TIME
3,12.95,12.95,2,12.80,12.80,4,13.07,13.07,1,12.67,12.67
3,10.23,23.18,2,10.28,23.08,4,10.26,23.33,1,10.35,23.02
1,9.59,32.77,3,9.83,32.91,4,9.76,33.09,2,9.83,32.85
1,9.85,42.62,3,9.93,42.84,4,9.87,42.96,2,9.87,42.72
1,9.79,52.41,3,9.68,52.52,4,9.71,52.67,2,9.78,52.50
1,9.46,1:01.87,2,9.45,1:01.97,4,9.55,1:02.22,3,9.59,1:02.09
1,9.45,1:11.32,2,9.43,1:11.40,4,9.35,1:11.57,3,9.39,1:11.48
1,9.44,1:20.76,2,9.46,1:20.86,3,9.37,1:20.94,4,9.50,1:20.98
1,9.62,1:30.378,2,9.56,1:30.420,3,9.55,1:30.490,4,9.55,1:30.530
