CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME
4,14.37,14.37,2,14.14,14.14,1,14.02,14.02,3,14.24,14.24,5,14.45,14.45
3,10.90,25.27,2,11.02,25.16,1,11.09,25.11,4,11.10,25.34,5,10.94,25.39
4,10.25,35.52,2,10.12,35.28,3,10.26,35.37,1,9.80,35.14,5,10.22,35.61
4,10.00,45.52,1,9.86,45.14,3,10.00,45.37,2,10.14,45.28,5,10.01,45.62
4,9.81,55.33,1,9.81,54.95,3,9.82,55.19,2,9.78,55.06,5,9.81,55.43
4,9.52,1:04.85,1,9.61,1:04.56,3,9.52,1:04.71,2,9.59,1:04.65,5,9.51,1:04.94
5,9.48,1:14.33,1,9.44,1:14.00,2,9.40,1:14.11,3,9.59,1:14.24,4,9.35,1:14.29
4,9.57,1:23.90,1,9.49,1:23.49,2,9.47,1:23.58,5,10.34,1:24.58,3,9.59,1:23.88
0,9.17,1:33.07,0,9.58,1:33.07,3,9.60,1:33.18,5,10.37,1:34.95,4,9.45,1:33.33
