DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME
4,9.15,9.15,1,8.93,8.93,2,8.95,8.95,3,9.05,9.05,5,9.28,9.28
4,11.87,21.02,3,11.98,20.91,2,11.88,20.83,1,11.53,20.58,5,11.89,21.17
5,11.11,32.13,2,10.90,31.81,1,10.86,31.69,3,11.24,31.82,4,10.82,31.99
5,10.66,42.79,2,10.63,42.44,1,10.63,42.32,3,10.75,42.57,4,10.70,42.69
5,10.30,53.09,2,10.33,52.77,1,10.34,52.66,3,10.34,52.91,4,10.29,52.98
5,10.21,1:03.30,2,10.13,1:02.90,1,10.16,1:02.82,3,10.12,1:03.03,4,10.18,1:03.16
5,9.52,1:12.82,2,9.65,1:12.55,1,9.63,1:12.45,4,9.72,1:12.75,3,9.41,1:12.57
4,9.24,1:22.06,2,9.32,1:21.87,1,9.34,1:21.79,5,9.43,1:22.18,3,9.40,1:21.97
4,9.27,1:31.33,1,9.15,1:31.02,2,9.33,1:31.12,5,9.32,1:31.50,3,9.26,1:31.23
4,9.34,1:40.67,1,9.33,1:40.35,2,9.35,1:40.47,5,9.30,1:40.80,3,9.36,1:40.59
4,9.21,1:49.88,1,9.25,1:49.60,2,9.26,1:49.73,5,9.27,1:50.07,3,9.22,1:49.81
4,9.18,1:59.06,1,9.16,1:58.76,2,9.15,1:58.88,5,9.36,1:59.43,3,9.16,1:58.97
4,9.11,2:08.17,1,9.16,2:07.92,2,9.14,2:08.02,5,9.80,2:09.23,3,9.18,2:08.15
0,,PEN,1,9.28,2:17.201,2,9.28,2:17.301,4,10.87,2:20.095,3,9.50,2:17.645
