Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME,HAN Yueshuang POSITION,HAN Yueshuang LAP TIME,HAN Yueshuang ELAPSED TIME
1,7.31,7.31,3,7.48,7.48,2,7.42,7.42,4,8.00,8.00
1,9.91,17.22,3,10.17,17.65,2,9.91,17.33,4,10.07,18.07
1,9.44,26.66,4,16.92,34.57,2,9.40,26.73,3,9.79,27.86
1,9.57,36.23,4,17.88,52.45,2,9.58,36.31,3,10.30,38.16
2,9.87,46.094,4,12.17,1:04.613,1,9.66,45.969,3,11.06,49.215
