HWANG Hyun Sun POSITION,HWANG Hyun Sun LAP TIME,HWANG Hyun Sun ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME
3,13.21,13.21,1,12.98,12.98,2,13.09,13.09,4,13.30,13.30
4,10.64,23.85,2,10.61,23.59,3,10.56,23.65,1,10.25,23.55
4,9.75,33.60,3,9.89,33.48,2,9.74,33.39,1,9.75,33.30
3,10.16,43.76,4,10.51,43.99,2,10.15,43.54,1,10.16,43.46
4,11.02,54.78,3,10.10,54.09,2,10.34,53.88,1,10.36,53.82
3,34.60,1:29.38,4,1:06.16,2:00.25,2,10.09,1:03.97,1,10.07,1:03.89
3,13.31,1:42.69,4,18.93,2:19.18,1,10.58,1:14.55,2,10.68,1:14.57
3,12.56,1:55.25,4,14.67,2:33.85,1,10.30,1:24.85,2,11.08,1:25.65
3,12.12,2:07.368,0,,PEN,1,10.72,1:35.570,2,11.90,1:37.541
