Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,LEPAGE-FARRELL Alex POSITION,LEPAGE-FARRELL Alex LAP TIME,LEPAGE-FARRELL Alex ELAPSED TIME,HUANG Lan POSITION,HUANG Lan LAP TIME,HUANG Lan ELAPSED TIME
2,13.38,13.38,5,13.75,13.75,4,13.74,13.74,1,13.32,13.32,3,13.55,13.55
1,10.44,23.82,5,10.47,24.22,2,10.23,23.97,3,10.75,24.07,4,10.57,24.12
1,9.60,33.42,5,9.61,33.83,2,9.75,33.72,3,9.68,33.75,3,9.63,33.75
1,9.76,43.18,5,9.73,43.56,2,9.60,43.32,4,9.78,43.53,3,9.62,43.37
1,9.38,52.56,5,9.49,53.05,2,9.65,52.97,4,9.49,53.02,2,9.60,52.97
1,9.66,1:02.22,4,9.51,1:02.56,2,9.31,1:02.28,5,9.61,1:02.63,3,9.49,1:02.46
1,9.27,1:11.49,4,9.42,1:11.98,2,9.48,1:11.76,5,9.47,1:12.10,3,9.50,1:11.96
1,9.36,1:20.85,2,9.00,1:20.98,3,9.51,1:21.27,5,10.57,1:22.67,4,9.96,1:21.92
1,9.76,1:30.618,2,9.71,1:30.697,3,9.72,1:30.994,5,10.73,1:33.404,4,10.56,1:32.483
