SONG Jia Hua POSITION,SONG Jia Hua LAP TIME,SONG Jia Hua ELAPSED TIME,VOLCKAERT Robbe POSITION,VOLCKAERT Robbe LAP TIME,VOLCKAERT Robbe ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,TENZER Robin POSITION,TENZER Robin LAP TIME,TENZER Robin ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,NEMIRO Vladyslav POSITION,NEMIRO Vladyslav LAP TIME,NEMIRO Vladyslav ELAPSED TIME
1,10.40,10.40,2,10.52,10.52,3,10.68,10.68,4,10.93,10.93,5,11.07,11.07,6,11.22,11.22,7,11.36,11.36
1,13.58,23.98,3,13.72,24.24,2,13.42,24.10,6,13.52,24.45,5,13.36,24.43,7,13.43,24.65,4,12.96,24.32
2,12.69,36.67,4,12.68,36.92,3,12.71,36.81,7,12.65,37.10,6,12.58,37.01,1,11.83,36.48,5,12.67,36.99
4,11.28,47.95,7,11.22,48.14,3,11.01,47.82,1,10.51,47.61,5,11.10,48.11,2,11.22,47.70,6,11.13,48.12
2,10.14,58.09,7,10.59,58.73,1,10.17,57.99,4,10.82,58.43,5,10.33,58.44,3,10.53,58.23,6,10.49,58.61
2,9.54,1:07.63,7,9.65,1:08.38,1,9.54,1:07.53,5,9.69,1:08.12,4,9.48,1:07.92,3,9.49,1:07.72,6,9.64,1:08.25
2,9.48,1:17.11,7,9.26,1:17.64,1,9.46,1:16.99,5,9.33,1:17.45,4,9.32,1:17.24,3,9.48,1:17.20,6,9.26,1:17.51
3,9.36,1:26.47,7,9.39,1:27.03,1,9.29,1:26.28,4,9.12,1:26.57,5,9.47,1:26.71,2,9.16,1:26.36,6,9.35,1:26.86
1,9.15,1:35.62,7,9.35,1:36.38,2,9.36,1:35.64,4,9.31,1:35.88,5,9.39,1:36.10,3,9.31,1:35.67,6,9.35,1:36.21
1,8.98,1:44.60,7,9.39,1:45.77,2,9.15,1:44.79,4,9.17,1:45.05,5,9.37,1:45.47,3,9.23,1:44.90,6,9.33,1:45.54
1,9.24,1:53.84,7,9.80,1:55.57,2,9.24,1:54.03,4,9.09,1:54.14,6,9.98,1:55.45,3,9.15,1:54.05,5,9.55,1:55.09
2,9.26,2:03.10,7,10.31,2:05.88,3,9.11,2:03.14,4,9.37,2:03.51,6,10.32,2:05.77,1,8.94,2:02.99,5,9.88,2:04.97
3,9.39,2:12.49,6,10.47,2:16.35,2,8.97,2:12.11,4,9.48,2:12.99,7,10.97,2:16.74,1,9.10,2:12.09,5,10.19,2:15.16
3,9.59,2:22.084,6,10.72,2:27.071,1,9.34,2:21.45,4,10.10,2:23.090,7,11.77,2:28.514,2,9.63,2:21.72,5,10.61,2:25.779
