Mara ZINI POSITION,Mara ZINI LAP TIME,Mara ZINI ELAPSED TIME,Chantale SEVIGNY POSITION,Chantale SEVIGNY LAP TIME,Chantale SEVIGNY ELAPSED TIME,YANG A Yang POSITION,YANG A Yang LAP TIME,YANG A Yang ELAPSED TIME,Hyo-Jung KIM POSITION,Hyo-Jung KIM LAP TIME,Hyo-Jung KIM ELAPSED TIME
1,7.264,7.264,3,7.522,7.522,2,7.427,7.427,4,7.675,7.675
1,9.928,17.192,3,9.961,17.483,2,10.042,17.469,4,9.959,17.634
1,9.573,26.764,2,9.465,26.948,3,9.608,27.076,4,9.462,27.095
2,9.757,36.521,4,9.838,36.785,1,9.255,36.330,3,9.686,36.781
2,10.01,46.530,3,9.82,46.600,1,10.02,46.346,4,9.85,46.626
