John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME
5,10.06,10.06,4,9.92,9.92,1,9.50,9.50,2,9.59,9.59,3,9.78,9.78
5,15.50,25.56,4,15.47,25.39,1,15.41,24.91,2,15.42,25.01,3,15.40,25.18
5,15.20,40.76,4,15.24,40.63,1,15.22,40.13,2,15.27,40.28,3,15.28,40.46
5,14.04,54.80,4,14.03,54.66,2,14.32,54.45,1,14.04,54.32,3,14.09,54.55
5,13.82,1:08.62,4,13.84,1:08.50,1,13.46,1:07.91,2,13.69,1:08.01,3,13.70,1:08.25
5,11.76,1:20.38,4,11.71,1:20.21,2,11.99,1:19.90,1,11.88,1:19.89,3,11.80,1:20.05
3,10.53,1:30.91,5,10.84,1:31.05,1,10.80,1:30.70,2,10.92,1:30.81,4,10.86,1:30.91
4,18.29,1:49.20,3,9.78,1:40.83,1,9.98,1:40.68,5,37.10,2:07.91,2,9.90,1:40.81
4,18.10,2:07.30,3,9.79,1:50.62,1,9.75,1:50.43,5,15.67,2:23.58,2,9.72,1:50.53
4,15.82,2:23.12,2,9.38,2:00.00,1,9.44,1:59.87,5,15.55,2:39.13,3,9.54,2:00.07
4,14.99,2:38.11,2,9.34,2:09.34,1,9.30,2:09.17,5,12.70,2:51.83,3,9.36,2:09.43
4,11.77,2:49.88,3,9.19,2:18.53,1,9.06,2:18.23,5,12.02,3:03.85,2,8.97,2:18.40
4,12.07,3:01.95,3,8.91,2:27.44,1,9.03,2:27.26,5,11.65,3:15.50,2,8.93,2:27.33
0,,PEN,2,8.89,2:36.331,1,9.03,2:36.286,4,11.74,3:27.234,3,9.01,2:36.336
