GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Inan EREN POSITION,Inan EREN LAP TIME,Inan EREN ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME
4,13.75,13.75,5,13.89,13.89,1,13.37,13.37,2,13.50,13.50,3,13.63,13.63
4,9.93,23.68,5,9.93,23.82,1,9.98,23.35,2,9.91,23.41,3,9.86,23.49
5,9.60,33.28,3,9.30,33.12,2,9.64,32.99,1,9.52,32.93,4,9.67,33.16
5,9.28,42.56,1,8.95,42.07,3,9.36,42.35,2,9.23,42.16,4,9.37,42.53
5,9.38,51.94,1,9.03,51.10,4,9.38,51.73,2,9.01,51.17,3,9.20,51.73
4,9.50,1:01.44,1,8.96,1:00.06,5,24.31,1:16.04,2,8.98,1:00.15,3,8.86,1:00.59
4,9.67,1:11.11,1,8.94,1:09.00,5,11.29,1:27.33,2,8.93,1:09.08,3,9.09,1:09.68
4,10.01,1:21.12,1,9.10,1:18.10,5,11.09,1:38.42,2,9.13,1:18.21,3,9.38,1:19.06
4,10.37,1:31.482,1,9.45,1:27.543,5,10.96,1:49.379,2,9.44,1:27.645,3,9.83,1:28.881
