Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,Yonaton Spencer SUBIN POSITION,Yonaton Spencer SUBIN LAP TIME,Yonaton Spencer SUBIN ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,LIM Yong Jin POSITION,LIM Yong Jin LAP TIME,LIM Yong Jin ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME
2,9.43,9.43,4,9.61,9.61,5,9.75,9.75,3,9.59,9.59,6,10.06,10.06,1,9.29,9.29
4,12.18,21.61,2,11.85,21.46,5,11.92,21.67,1,11.74,21.33,6,11.90,21.96,3,12.27,21.56
3,12.31,33.92,2,12.35,33.81,5,12.47,34.14,1,12.35,33.68,6,12.28,34.24,4,12.48,34.04
2,12.19,46.11,3,12.44,46.25,5,12.42,46.56,1,12.33,46.01,6,12.45,46.69,4,12.38,46.42
3,11.92,58.03,5,11.84,58.09,6,11.72,58.28,2,11.93,57.94,1,11.08,57.77,4,11.62,58.04
4,10.53,1:08.56,5,10.63,1:08.72,6,10.62,1:08.90,3,10.51,1:08.45,1,10.45,1:08.22,2,10.29,1:08.33
4,10.30,1:18.86,5,10.27,1:18.99,6,10.33,1:19.23,3,10.30,1:18.75,2,10.42,1:18.64,1,10.06,1:18.39
4,9.99,1:28.85,5,10.08,1:29.07,6,10.15,1:29.38,3,9.95,1:28.70,1,9.84,1:28.48,2,10.10,1:28.49
4,10.10,1:38.95,5,10.10,1:39.17,6,10.20,1:39.58,3,9.74,1:38.44,1,9.67,1:38.15,2,9.78,1:38.27
4,10.41,1:49.36,5,10.26,1:49.43,6,10.37,1:49.95,3,9.56,1:48.00,1,9.46,1:47.61,2,9.47,1:47.74
5,10.97,2:00.33,4,10.61,2:00.04,6,10.68,2:00.63,3,9.86,1:57.86,1,9.45,1:57.06,2,9.48,1:57.22
6,11.53,2:11.86,4,10.83,2:10.87,5,11.00,2:11.63,3,10.44,2:08.30,1,9.39,2:06.45,2,9.70,2:06.92
6,12.14,2:24.00,4,11.43,2:22.30,5,11.39,2:23.02,3,10.79,2:19.09,1,9.37,2:15.82,2,10.17,2:17.09
6,13.39,2:37.389,4,11.67,2:33.970,5,11.83,2:34.848,3,11.10,2:30.190,1,9.53,2:25.342,2,11.25,2:28.338
