RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,ITALY POSITION,ITALY LAP TIME,ITALY ELAPSED TIME,BELGIUM POSITION,BELGIUM LAP TIME,BELGIUM ELAPSED TIME
2,12.89,12.89,4,13.07,,3,12.98,12.98,1,12.76,12.76
2,9.88,22.77,4,9.96,,3,9.87,22.85,1,9.90,22.66
2,9.69,32.46,4,9.66,,3,9.68,32.53,1,9.60,32.26
2,9.60,42.06,4,9.61,,3,9.64,42.17,1,9.70,41.96
2,9.69,51.75,4,9.74,,3,9.71,51.88,1,9.69,51.65
2,9.64,1:01.39,4,9.56,,3,9.62,1:01.50,1,9.66,1:01.31
2,9.84,1:11.23,4,9.85,,3,9.80,1:11.30,1,9.80,1:11.11
2,9.93,1:21.16,4,9.91,,3,9.93,1:21.23,1,9.91,1:21.02
2,9.70,1:30.86,4,9.67,,3,9.69,1:30.92,1,9.69,1:30.71
3,9.71,1:40.57,4,9.71,,2,9.62,1:40.54,1,9.75,1:40.46
3,9.26,1:49.83,4,9.19,,1,8.96,1:49.50,2,9.21,1:49.67
3,9.10,1:58.93,4,9.18,,1,9.20,1:58.70,2,9.15,1:58.82
3,8.95,2:07.88,4,8.94,,1,8.90,2:07.60,2,8.93,2:07.75
3,8.94,2:16.82,4,8.91,,1,8.92,2:16.52,2,8.94,2:16.69
3,8.85,2:25.67,4,8.85,,1,8.91,2:25.43,2,8.81,2:25.50
3,9.00,2:34.67,4,8.94,,1,9.04,2:34.47,2,9.06,2:34.56
3,9.23,2:43.90,4,9.24,,1,9.15,2:43.62,2,9.24,2:43.80
3,8.96,2:52.86,4,9.03,,1,8.88,2:52.50,2,8.95,2:52.75
2,8.60,3:01.46,4,8.81,,1,8.75,3:01.25,3,8.85,3:01.60
2,8.68,3:10.14,4,8.63,,1,8.74,3:09.99,3,8.74,3:10.34
2,8.80,3:18.94,4,8.72,,1,8.76,3:18.75,3,8.74,3:19.08
2,8.67,3:27.61,4,8.78,,1,8.77,3:27.52,3,8.87,3:27.95
2,8.74,3:36.35,3,8.72,,1,8.68,3:36.20,4,8.81,3:36.76
2,8.49,3:44.84,3,8.72,,1,8.50,3:44.70,4,8.81,3:45.57
2,8.61,3:53.45,3,8.79,,1,8.65,3:53.35,4,8.87,3:54.44
2,8.73,4:02.18,3,8.53,,1,8.64,4:01.99,4,9.02,4:03.46
2,8.67,4:10.85,3,8.55,,1,8.75,4:10.74,4,8.95,4:12.41
2,8.71,4:19.56,3,8.55,,1,8.74,4:19.48,4,9.10,4:21.51
2,8.86,4:28.42,3,8.74,,1,8.76,4:28.24,4,9.09,4:30.60
2,8.47,4:36.89,3,8.78,,1,8.60,4:36.84,4,8.98,4:39.58
1,8.63,4:45.52,3,8.81,,2,8.79,4:45.63,4,9.20,4:48.78
1,8.79,4:54.31,3,8.61,,2,8.77,4:54.40,4,9.41,4:58.19
1,8.76,5:03.07,3,8.67,,2,8.73,5:03.13,4,9.37,5:07.56
1,8.80,5:11.87,3,8.69,,2,8.87,5:12.00,4,19.05,5:26.61
1,9.01,5:20.88,3,9.00,,2,9.00,5:21.00,4,9.90,5:36.51
1,8.79,5:29.67,3,8.87,,2,8.76,5:29.76,4,9.43,5:45.94
1,8.76,5:38.43,3,8.91,,2,8.81,5:38.57,4,9.49,5:55.43
1,8.91,5:47.34,3,8.75,,2,8.88,5:47.45,4,10.29,6:05.72
1,8.76,5:56.10,3,8.75,,2,8.71,5:56.16,4,9.36,6:15.08
1,8.87,6:04.97,2,8.62,,3,8.99,6:05.15,4,9.29,6:24.37
2,9.28,6:14.25,1,9.11,,3,9.22,6:14.37,4,9.88,6:34.25
1,9.05,6:23.30,2,9.24,,3,9.05,6:23.42,4,9.78,6:44.03
1,8.88,6:32.18,2,17.36,,3,18.70,6:42.12,4,9.78,6:53.81
1,10.09,6:42.27,2,10.13,,3,9.96,6:52.08,4,10.01,7:03.82
1,11.14,6:53.381,2,9.89,,2,9.58,7:01.638,3,12.62,7:16.413
