Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
2,13.54,13.54,3,13.83,13.83,1,13.46,13.46,4,13.93,13.93
2,10.00,23.54,3,9.87,23.70,1,9.96,23.42,4,9.89,23.82
2,9.95,33.49,3,9.89,33.59,1,9.86,33.28,4,9.83,33.65
4,9.78,43.27,2,9.40,42.99,1,9.56,42.84,3,9.56,43.21
4,9.34,52.61,2,9.01,52.00,1,9.05,51.89,3,8.97,52.18
4,9.69,1:02.30,2,9.30,1:01.30,1,9.29,1:01.18,3,9.25,1:01.43
4,10.05,1:12.35,2,9.45,1:10.75,1,9.46,1:10.64,3,9.45,1:10.88
4,10.43,1:22.78,3,9.53,1:20.28,1,9.63,1:20.27,2,9.40,1:20.28
3,10.78,1:33.557,2,10.60,1:30.879,0,,PEN,1,10.49,1:30.769
