Jumpei YOSHIZAWA POSITION,Jumpei YOSHIZAWA LAP TIME,Jumpei YOSHIZAWA ELAPSED TIME,Robbert-Kees BOER POSITION,Robbert-Kees BOER LAP TIME,Robbert-Kees BOER ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME
1,9.180,9.180,4,9.560,9.560,3,9.271,9.271,5,9.611,9.611,2,9.247,9.247
1,14.413,23.593,4,14.241,23.801,5,14.844,24.115,3,14.106,23.716,2,14.466,23.712
1,13.962,37.554,4,14.012,37.813,3,13.550,37.664,5,14.148,37.864,2,13.927,37.639
3,13.921,51.475,5,13.854,51.667,2,13.796,51.459,1,13.560,51.423,4,13.860,51.498
4,11.193,1:02.667,3,10.961,1:02.628,2,11.026,1:02.485,1,10.810,1:02.233,5,11.217,1:02.715
4,9.848,1:12.515,1,9.522,1:12.149,2,9.928,1:12.412,3,10.259,1:12.492,5,9.910,1:12.625
5,9.564,1:22.078,1,9.608,1:21.757,2,9.496,1:21.908,3,9.558,1:22.050,4,9.446,1:22.071
3,9.487,1:31.564,2,9.596,1:31.353,1,9.429,1:31.337,4,9.542,1:31.591,5,9.581,1:31.651
5,9.425,1:40.989,2,9.429,1:40.782,1,9.363,1:40.699,4,9.329,1:40.919,3,9.234,1:40.884
3,9.479,1:50.468,1,9.554,1:50.335,2,9.753,1:50.452,5,9.664,1:50.583,4,9.648,1:50.531
1,9.221,1:59.689,4,9.512,1:59.846,5,9.398,1:59.850,2,9.124,1:59.706,3,9.254,1:59.785
3,9.456,2:09.144,5,10.080,2:09.926,2,9.246,2:09.095,4,9.592,2:09.298,1,9.272,2:09.056
3,9.673,2:18.816,5,10.816,2:20.741,1,9.638,2:18.732,4,9.786,2:19.084,2,9.737,2:18.792
3,9.82,2:28.635,5,10.85,2:31.583,1,9.54,2:28.265,4,10.03,2:29.106,2,9.56,2:28.344
