LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Matus UZAK POSITION,Matus UZAK LAP TIME,Matus UZAK ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME
5,14.591,14.591,2,14.140,14.140,3,14.416,14.416,1,14.016,14.016,4,14.541,14.541
1,10.102,24.693,3,10.759,24.898,5,11.144,25.559,2,10.821,24.836,4,10.592,25.132
2,9.707,34.400,3,9.608,34.506,5,9.281,34.840,1,9.431,34.266,4,9.507,34.639
2,10.094,44.493,1,9.930,44.435,5,9.997,44.837,3,10.321,44.587,4,10.040,44.679
2,9.755,54.248,1,9.783,54.218,5,9.832,54.668,3,9.838,54.424,4,9.858,54.536
2,9.769,1:04.016,1,9.793,1:04.011,5,9.684,1:04.351,3,9.648,1:04.072,4,9.655,1:04.190
1,9.541,1:13.557,2,9.568,1:13.578,5,9.703,1:14.053,3,9.615,1:13.686,4,9.720,1:13.910
1,9.297,1:22.853,2,9.357,1:22.935,5,9.523,1:23.576,4,9.484,1:23.169,3,9.232,1:23.142
1,9.50,1:32.352,2,9.63,1:32.558,5,9.53,1:33.097,4,9.65,1:32.810,3,9.53,1:32.670
