Cole William Isaac KRUEGER POSITION,Cole William Isaac KRUEGER LAP TIME,Cole William Isaac KRUEGER ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
2,12.91,12.91,3,12.99,12.99,1,12.88,12.88,4,13.09,,5,13.24,13.24
3,9.67,22.58,1,9.41,22.40,2,9.63,22.51,4,9.63,,5,9.60,22.84
4,9.63,32.21,2,9.61,32.01,1,9.39,31.90,3,9.40,,5,9.38,32.22
5,9.32,41.53,2,9.09,41.10,1,9.13,41.03,3,9.06,,4,9.20,41.42
5,8.83,50.36,2,8.79,49.89,1,8.78,49.81,3,8.81,,4,8.76,50.18
5,8.62,58.98,2,8.64,58.53,1,8.65,58.46,3,8.65,,4,8.54,58.72
5,8.72,1:07.70,1,8.56,1:07.09,3,8.76,1:07.22,2,8.57,,4,8.67,1:07.39
5,8.92,1:16.62,1,8.73,1:15.82,3,8.94,1:16.16,4,9.30,,2,8.61,1:16.00
5,9.05,1:25.67,1,8.87,1:24.69,3,8.69,1:24.85,4,9.12,,2,8.80,1:24.80
