RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME,UKRAINE POSITION,UKRAINE LAP TIME,UKRAINE ELAPSED TIME,TURKEY POSITION,TURKEY LAP TIME,TURKEY ELAPSED TIME,BELGIUM POSITION,BELGIUM LAP TIME,BELGIUM ELAPSED TIME
1,11.89,11.89,2,12.00,12.00,5,12.62,,3,12.07,12.07,4,12.60,12.60
1,8.82,20.71,2,8.85,20.85,5,9.23,,3,9.01,21.08,4,9.14,21.74
1,8.49,29.20,2,8.62,29.47,5,9.13,,3,8.63,29.71,4,9.04,30.78
1,8.69,37.89,2,8.64,38.11,5,9.12,,3,8.66,38.37,4,9.11,39.89
1,9.15,47.04,2,9.13,47.24,5,9.72,,3,9.00,47.37,4,9.27,49.16
1,9.11,56.15,2,9.07,56.31,5,10.03,,3,9.59,56.96,4,9.31,58.47
1,8.89,1:05.04,2,8.87,1:05.18,5,9.71,,3,8.99,1:05.95,4,9.27,1:07.74
1,8.72,1:13.76,2,8.82,1:14.00,5,9.20,,3,8.96,1:14.91,4,9.20,1:16.94
1,8.68,1:22.44,2,8.86,1:22.86,5,9.31,,3,8.94,1:23.85,4,9.16,1:26.10
1,8.86,1:31.30,2,8.78,1:31.64,5,17.27,,3,8.88,1:32.73,4,9.38,1:35.48
1,9.18,1:40.48,2,9.18,1:40.82,5,10.16,,3,9.24,1:41.97,4,10.06,1:45.54
1,9.01,1:49.49,2,8.99,1:49.81,5,9.75,,3,9.20,1:51.17,4,9.59,1:55.13
1,8.92,1:58.41,2,8.94,1:58.75,5,10.17,,3,9.10,2:00.27,4,9.45,2:04.58
1,8.99,2:07.40,2,8.93,2:07.68,5,10.66,,3,9.21,2:09.48,4,8.96,2:13.54
1,8.83,2:16.23,2,8.82,2:16.50,5,10.08,,3,9.16,2:18.64,4,9.93,2:23.47
1,8.94,2:25.17,2,8.87,2:25.37,5,9.82,,3,9.22,2:27.86,4,9.46,2:32.93
1,9.21,2:34.38,2,9.24,2:34.61,5,9.73,,3,9.31,2:37.17,4,9.89,2:42.82
1,9.04,2:43.42,2,9.07,2:43.68,5,17.83,,3,9.15,2:46.32,4,18.79,3:01.61
1,9.00,2:52.42,2,8.95,2:52.63,5,10.88,,3,9.36,2:55.68,4,10.36,3:11.97
1,9.01,3:01.43,2,8.95,3:01.58,5,9.97,,3,9.41,3:05.09,4,9.50,3:21.47
1,9.06,3:10.49,2,9.05,3:10.63,5,10.16,,3,9.22,3:14.31,4,9.85,3:31.32
1,8.88,3:19.37,2,8.99,3:19.62,5,10.20,,3,9.31,3:23.62,4,9.94,3:41.26
1,9.15,3:28.52,2,8.93,3:28.55,5,10.86,,3,9.31,3:32.93,4,10.44,3:51.70
1,9.01,3:37.53,2,9.92,3:38.47,5,10.22,,3,9.51,3:42.44,4,10.43,4:02.13
1,8.94,3:46.47,2,9.27,3:47.74,5,10.05,,3,9.60,3:52.04,4,10.27,4:12.40
1,8.98,3:55.45,2,9.58,3:57.32,5,10.21,,3,9.49,4:01.53,4,9.79,4:22.19
1,9.11,4:04.56,2,9.50,4:06.82,5,10.43,,3,9.61,4:11.142,4,9.93,4:32.124
