Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Ekaterina BELOVA POSITION,Ekaterina BELOVA LAP TIME,Ekaterina BELOVA ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME,Veronika DENES POSITION,Veronika DENES LAP TIME,Veronika DENES ELAPSED TIME
3,14.31,14.31,2,14.27,14.27,4,14.43,14.43,1,13.98,13.98
4,10.69,25.00,3,10.70,24.98,2,10.54,24.97,1,10.96,24.95
1,10.39,35.39,3,10.50,35.48,4,10.65,35.63,2,10.51,35.46
2,10.55,45.95,1,10.43,45.92,4,10.49,46.12,3,10.49,45.96
3,10.60,56.55,1,10.58,56.50,4,10.50,56.63,2,10.57,56.53
3,10.01,1:06.57,2,10.06,1:06.56,1,9.84,1:06.47,4,10.80,1:07.33
2,9.85,1:16.43,1,9.71,1:16.28,3,10.03,1:16.51,4,11.40,1:18.74
2,9.90,1:26.33,1,9.82,1:26.11,3,9.85,1:26.36,4,12.00,1:30.74
1,9.77,1:36.099,2,10.02,1:36.121,3,9.92,1:36.274,4,12.52,1:43.255
