Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,MARTINIC Ivan POSITION,MARTINIC Ivan LAP TIME,MARTINIC Ivan ELAPSED TIME
2,7.12,7.12,1,6.99,6.99,4,7.25,7.25,3,7.19,7.19,5,7.44,7.44
3,9.20,16.32,1,9.11,16.10,4,9.20,16.45,2,9.01,16.20,5,9.26,16.70
3,8.50,24.82,2,8.61,24.71,4,8.54,24.99,1,8.44,24.64,5,8.83,25.53
2,8.60,33.42,4,8.90,33.61,3,8.58,33.57,1,8.65,33.29,5,9.03,34.56
2,8.84,42.26,4,9.09,42.70,3,8.78,42.35,1,8.78,42.07,5,9.48,44.04
