DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME
1,15.71,15.71,2,15.91,15.91,3,16.07,16.07,4,16.21,16.21
2,12.26,27.97,3,12.22,28.13,1,11.88,27.95,4,12.09,28.30
2,10.49,38.46,3,10.51,38.64,1,10.43,38.38,4,10.35,38.65
3,9.60,48.06,4,9.61,48.25,1,9.55,47.93,1,9.28,47.93
3,9.18,57.24,4,9.14,57.39,2,9.23,57.16,1,9.10,57.03
3,9.09,1:06.33,4,9.05,1:06.44,2,9.08,1:06.24,1,9.08,1:06.11
2,9.04,1:15.37,4,9.04,1:15.48,3,9.14,1:15.38,1,9.08,1:15.19
2,9.18,1:24.55,3,9.16,1:24.64,4,9.50,1:24.88,1,9.11,1:24.30
0,9.34,1:33.89,0,9.28,1:33.92,4,9.86,1:34.74,1,9.17,1:33.47
