Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Bor Luka URLEP POSITION,Bor Luka URLEP LAP TIME,Bor Luka URLEP ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Roger VALLVERDU IMBERNON POSITION,Roger VALLVERDU IMBERNON LAP TIME,Roger VALLVERDU IMBERNON ELAPSED TIME
4,11.16,11.16,1,9.93,9.93,2,10.47,10.47,3,10.84,10.84
3,11.00,22.16,1,11.86,21.79,2,11.52,21.99,4,11.37,22.21
3,11.37,33.53,1,11.47,33.26,2,11.43,33.42,4,11.45,33.66
3,11.65,45.18,1,11.65,44.91,2,11.64,45.06,4,11.70,45.36
3,11.46,56.64,1,11.49,56.40,2,11.50,56.56,4,11.42,56.78
3,11.58,1:08.22,1,11.52,1:07.92,2,11.54,1:08.10,4,11.58,1:08.36
3,11.12,1:19.34,1,11.25,1:19.17,2,11.17,1:19.27,4,11.15,1:19.51
3,11.50,1:30.84,1,11.49,1:30.66,2,11.52,1:30.79,4,11.55,1:31.06
1,11.24,1:42.08,3,11.51,1:42.17,2,11.35,1:42.14,4,11.42,1:42.48
1,9.23,1:51.31,3,10.71,1:52.88,2,9.65,1:51.79,4,10.83,1:53.31
1,9.18,2:00.49,3,10.33,2:03.21,2,9.57,2:01.36,4,10.95,2:04.26
1,9.37,2:09.86,3,10.62,2:13.83,2,9.81,2:11.17,4,11.46,2:15.72
1,9.98,2:19.84,3,10.85,2:24.68,2,10.18,2:21.35,4,11.90,2:27.62
1,10.17,2:29.998,3,12.08,2:36.743,2,10.67,2:31.998,4,12.85,2:40.449
