Jeroen SONNEVELD POSITION,Jeroen SONNEVELD LAP TIME,Jeroen SONNEVELD ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME
3,14.68,14.68,1,14.46,14.46,2,14.55,14.55,4,14.79,14.79
4,10.84,25.52,2,10.85,25.31,3,10.87,25.42,1,10.47,25.26
4,10.12,35.64,2,10.13,35.44,1,9.94,35.36,3,10.18,35.44
2,9.92,45.56,3,10.23,45.67,1,10.06,45.42,4,10.26,45.70
2,9.94,55.50,3,9.85,55.52,1,9.97,55.39,4,9.93,55.63
2,9.62,1:05.12,3,9.74,1:05.26,1,9.62,1:05.01,4,9.77,1:05.40
2,9.25,1:14.37,3,9.19,1:14.45,1,9.22,1:14.23,4,9.25,1:14.65
3,9.07,1:23.44,2,8.98,1:23.43,1,8.94,1:23.17,4,9.11,1:23.76
3,9.21,1:32.644,2,9.13,1:32.554,1,9.12,1:32.281,4,9.38,1:33.140
