SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME
5,9.08,9.08,3,8.76,8.76,1,8.51,8.51,2,8.64,8.64,4,8.90,8.90,6,9.22,9.22
5,12.43,21.51,3,12.45,21.21,1,12.44,20.95,2,12.48,21.12,4,12.45,21.35,6,12.41,21.63
5,11.00,32.51,3,11.08,32.29,1,11.19,32.14,2,11.04,32.16,4,11.06,32.41,6,11.03,32.66
5,10.68,43.19,3,10.65,42.94,2,10.78,42.92,1,10.73,42.89,4,10.66,43.07,6,10.66,43.32
5,10.17,53.36,2,10.06,53.00,1,9.98,52.90,3,10.23,53.12,4,10.13,53.20,6,10.15,53.47
5,10.28,1:03.64,2,10.27,1:03.27,1,10.34,1:03.24,3,10.25,1:03.37,4,10.27,1:03.47,6,10.28,1:03.75
5,9.78,1:13.42,2,9.78,1:13.05,3,9.92,1:13.16,1,9.57,1:12.94,4,9.78,1:13.25,6,9.76,1:13.51
5,9.83,1:23.25,2,9.93,1:22.98,3,9.94,1:23.10,1,9.96,1:22.90,4,9.93,1:23.18,6,9.88,1:23.39
5,9.92,1:33.17,2,9.97,1:32.95,3,9.96,1:33.06,1,9.99,1:32.89,4,9.98,1:33.16,6,9.92,1:33.31
4,9.71,1:42.88,3,9.91,1:42.86,5,9.84,1:42.90,1,9.76,1:42.65,6,9.83,1:42.99,2,9.43,1:42.74
3,9.51,1:52.39,4,9.82,1:52.68,5,9.91,1:52.81,1,9.59,1:52.24,6,9.94,1:52.93,2,9.59,1:52.33
3,9.89,2:02.28,4,9.77,2:02.45,5,9.74,2:02.55,2,10.02,2:02.26,6,9.72,2:02.65,1,9.90,2:02.23
2,9.75,2:12.03,5,9.96,2:12.41,4,9.76,2:12.31,3,9.90,2:12.16,6,9.82,2:12.47,1,9.71,2:11.94
2,9.74,2:21.769,6,10.09,2:22.492,4,9.71,2:22.017,3,9.76,2:21.912,5,9.97,2:22.440,1,9.77,2:21.702
