Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME
2,6.80,6.80,1,6.75,6.75,3,6.98,6.98,4,7.10,7.10
2,9.08,15.88,1,8.98,15.73,3,8.98,15.96,4,9.03,16.13
1,8.48,24.36,2,8.70,24.43,3,8.56,24.52,4,8.59,24.72
1,8.64,33.00,3,8.83,33.26,2,8.61,33.13,4,8.81,33.53
1,8.82,41.820,3,9.04,42.295,2,8.83,41.958,4,9.17,42.693
