REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
1,6.67,6.67,3,7.14,7.14,2,6.83,6.83,4,8.06,8.06
1,8.70,15.37,2,9.13,16.27,4,22.79,29.62,3,9.26,17.32
1,8.45,23.82,2,9.06,25.33,4,19.10,48.72,3,8.59,25.91
1,8.51,32.33,2,8.92,34.25,4,12.33,1:01.05,3,8.68,34.59
1,8.72,41.05,2,9.07,43.32,4,11.37,1:12.42,3,8.85,43.44
