Benjamin MACE POSITION,Benjamin MACE LAP TIME,Benjamin MACE ELAPSED TIME,Jakub BOROWSKI POSITION,Jakub BOROWSKI LAP TIME,Jakub BOROWSKI ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
2,13.28,13.28,3,13.40,13.40,4,13.58,13.58,1,13.17,13.17
1,10.53,23.81,3,10.59,23.99,4,10.63,24.21,2,10.64,23.81
1,10.06,33.87,3,10.10,34.09,4,10.04,34.25,2,10.16,33.97
1,10.06,43.93,3,10.04,44.13,4,10.02,44.27,2,10.03,44.00
2,9.85,53.78,3,9.77,53.90,4,9.73,54.00,1,9.61,53.61
2,9.58,1:03.36,3,9.56,1:03.46,4,9.46,1:03.46,1,9.64,1:03.25
2,9.49,1:12.85,4,9.71,1:13.17,3,9.41,1:12.87,1,9.49,1:12.74
3,9.59,1:22.44,4,9.83,1:23.00,2,9.46,1:22.33,1,9.49,1:22.23
3,9.66,1:32.092,4,10.34,1:33.332,2,9.70,1:32.027,1,9.72,1:31.945
