Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME
1,6.69,6.69,2,7.05,7.05,3,7.08,7.08,4,7.45,7.45
1,9.15,15.84,2,9.05,16.10,3,9.19,16.28,4,9.24,16.70
1,8.81,24.66,4,30.99,47.10,2,8.72,25.01,3,8.68,25.38
1,8.72,33.38,4,31.62,1:18.73,2,8.92,33.93,3,8.86,34.25
1,9.48,42.856,3,20.39,1:39.113,2,10.11,44.039,0,,DQ
