WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,LIN Meng POSITION,LIN Meng LAP TIME,LIN Meng ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME
2,9.65,9.65,4,9.95,9.95,3,9.79,9.79,6,10.31,10.31,1,9.52,9.52,5,10.13,10.13
2,13.64,23.29,5,13.53,23.48,4,13.58,23.37,3,12.99,23.30,1,13.61,23.13,6,13.51,23.64
3,12.17,35.46,5,12.19,35.67,4,12.19,35.56,1,11.79,35.09,2,12.16,35.29,6,12.14,35.78
3,12.64,48.10,5,12.64,48.31,4,12.64,48.20,1,12.70,47.79,2,12.70,47.99,6,12.67,48.45
3,12.37,1:00.47,5,12.44,1:00.75,4,12.43,1:00.63,2,12.53,1:00.32,1,12.29,1:00.28,6,12.32,1:00.77
2,10.21,1:10.68,6,10.46,1:11.21,5,10.43,1:11.06,4,10.63,1:10.95,3,10.54,1:10.82,1,9.81,1:10.58
2,10.41,1:21.09,6,10.31,1:21.52,5,10.32,1:21.38,4,10.30,1:21.25,3,10.28,1:21.10,1,10.43,1:21.01
3,9.87,1:30.96,6,9.85,1:31.37,5,9.75,1:31.13,4,9.80,1:31.05,1,9.68,1:30.78,2,9.86,1:30.87
3,10.28,1:41.24,6,10.21,1:41.58,5,10.29,1:41.42,4,10.28,1:41.33,1,10.24,1:41.02,2,10.26,1:41.13
3,10.49,1:51.73,6,10.52,1:52.10,5,10.54,1:51.96,4,10.54,1:51.87,1,10.43,1:51.45,2,10.50,1:51.63
3,9.92,2:01.65,6,10.17,2:02.27,5,9.93,2:01.89,4,9.91,2:01.78,2,10.13,2:01.58,1,9.81,2:01.44
3,9.70,2:11.35,6,10.37,2:12.64,5,9.75,2:11.64,4,9.69,2:11.47,2,9.68,2:11.26,1,9.68,2:11.12
3,9.72,2:21.07,6,11.06,2:23.70,5,9.68,2:21.32,4,9.74,2:21.21,2,9.70,2:20.96,1,9.71,2:20.83
3,9.93,2:30.998,6,11.70,2:35.397,5,9.94,2:31.260,4,9.88,2:31.083,2,9.90,2:30.861,1,9.91,2:30.740
