Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME
1,13.59,13.59,2,13.65,13.65,3,13.76,13.76,4,13.87,13.87
1,10.27,23.86,2,10.33,23.98,3,10.26,24.02,4,10.24,24.11
1,9.70,33.56,3,9.81,33.79,2,9.62,33.64,4,9.84,33.95
2,9.78,43.34,1,9.48,43.27,3,9.80,43.44,4,9.59,43.54
2,9.62,52.96,1,9.60,52.87,3,9.62,53.06,4,9.64,53.18
2,9.36,1:02.32,1,9.43,1:02.30,3,9.41,1:02.47,4,9.39,1:02.57
3,9.58,1:11.90,1,9.51,1:11.81,2,9.40,1:11.87,4,9.36,1:11.93
3,9.65,1:21.55,1,9.63,1:21.44,2,9.67,1:21.54,4,9.69,1:21.62
0,,PEN,1,9.85,1:31.282,3,10.14,1:31.671,2,9.79,1:31.407
